['Error: 401 Client Error: Unauthorized for url: https://query1.finance.yahoo.com/v10/finance/quoteSummary/MSFT?modules=financialData']
         148084 function calls (143430 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      186    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      209    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      353    0.001    0.000    0.002    0.000 enum.py:850(__setattr__)
  166/162    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      140    0.001    0.000    0.004    0.000 enum.py:1562(__and__)
        1    0.001    0.001    0.009    0.009 packages.py:1(<module>)
      139    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      556    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      343    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
      425    0.001    0.000    0.002    0.000 typing.py:935(__eq__)
      148    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      187    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      311    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
      531    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
      209    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      278    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       70    0.001    0.000    0.206    0.003 _compiler.py:740(compile)
      187    0.001    0.000    0.002    0.000 __init__.py:101(find_spec)
       46    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
      374    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      347    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      139    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    141/1    0.001    0.000    0.777    0.777 {built-in method builtins.exec}
      188    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(__enter__)
      432    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      318    0.001    0.000    0.001    0.000 enum.py:59(_is_sunder)
      316    0.001    0.000    0.001    0.000 _parser.py:83(groups)
       53    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
    139/2    0.001    0.000    0.482    0.241 <frozen importlib._bootstrap_external>:989(exec_module)
      270    0.001    0.000    0.001    0.000 types.py:192(__init__)
      148    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      439    0.001    0.000    0.002    0.000 {built-in method from_bytes}
      139    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      530    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       17    0.001    0.000    1.120    0.066 __init__.py:1(<module>)
      148    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      503    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      122    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      209    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       24    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
      139    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.001    0.001    0.003    0.003 status_codes.py:109(_init)
      215    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.001    0.001    0.001    0.001 hmac.py:1(<module>)
      209    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       70    0.001    0.000    0.131    0.002 _parser.py:969(parse)
      287    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:632(cached)
      337    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      295    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      418    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      422    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
       43    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
      209    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      199    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      435    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      188    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:420(__exit__)
      172    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      169    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      158    0.001    0.000    0.002    0.000 typing.py:166(_type_convert)
       88    0.001    0.000    0.001    0.000 ipaddress.py:1213(_parse_octet)
       87    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
       22    0.001    0.000    0.004    0.000 enum.py:528(__new__)
        2    0.001    0.000    0.002    0.001 request.py:2505(getproxies_environment)
      170    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      164    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        6    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
  140/137    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      180    0.000    0.000    0.001    0.000 <frozen os>:766(decode)
       70    0.000    0.000    0.073    0.001 _compiler.py:573(_code)
      339    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      292    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      178    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
      178    0.000    0.000    0.002    0.000 <frozen _collections_abc>:868(__iter__)
      320    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      322    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       26    0.000    0.000    0.006    0.000 typing.py:687(Union)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      139    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       56    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
