('Total Revenue', '281,724,000,000', '245,122,000,000', '211,915,000,000', '198,270,000,000')
         801417 function calls (769620 primitive calls) in 18.461 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4805    0.007    0.000    0.007    0.000 {method 'get' of 'mappingproxy' objects}
     4887    0.007    0.000    0.007    0.000 typing.py:1599(<genexpr>)
     4454    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
       99    0.006    0.000    0.050    0.001 typing.py:746(Literal)
     4470    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
      845    0.006    0.000    0.067    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     2241    0.006    0.000    0.010    0.000 css_parser.py:305(match)
     1206    0.006    0.000    0.010    0.000 enum.py:79(_is_private)
  747/735    0.006    0.000    0.103    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1081    0.006    0.000    0.010    0.000 enum.py:38(_is_descriptor)
     1639    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:74(__new__)
     1539    0.006    0.000    0.009    0.000 enum.py:1544(_get_value)
      646    0.006    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1111    0.006    0.000    0.012    0.000 _parser.py:312(_class_escape)
     3096    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
     2584    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
   1786/4    0.005    0.000    2.460    0.615 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      719    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      313    0.005    0.000    0.019    0.000 css_parser.py:999(selector_iter)
     1292    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1639    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:82(remove)
       28    0.005    0.000    0.010    0.000 inspect.py:875(cleandoc)
     3281    0.005    0.000    0.005    0.000 {method '__exit__' of '_thread.RLock' objects}
     3168    0.005    0.000    0.005    0.000 {method 'find' of 'bytearray' objects}
      787    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:445(cb)
     3422    0.005    0.000    0.005    0.000 typing.py:1246(<genexpr>)
     1639    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:173(__exit__)
     3297    0.005    0.000    0.005    0.000 {built-in method _thread.get_ident}
      235    0.004    0.000    0.066    0.000 _compiler.py:511(_compile_info)
      649    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      113    0.004    0.000    0.009    0.000 typing.py:1609(__hash__)
       13    0.004    0.000    0.034    0.003 enum.py:919(_convert_)
     1187    0.004    0.000    0.006    0.000 enum.py:850(__setattr__)
      470    0.004    0.000    0.015    0.000 enum.py:1562(__and__)
      310    0.004    0.000    0.015    0.000 function_base.py:486(add_newdoc)
      821    0.004    0.000    0.007    0.000 _parser.py:372(_escape)
    646/2    0.004    0.000    2.460    1.230 <frozen importlib._bootstrap_external>:989(exec_module)
2097/1932    0.004    0.000    0.005    0.000 {built-in method builtins.hash}
      238    0.004    0.000    0.071    0.000 typing.py:687(Union)
      515    0.004    0.000    0.022    0.000 typing.py:1147(__init__)
      719    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      794    0.004    0.000    0.056    0.000 <frozen importlib._bootstrap>:416(__enter__)
       54    0.004    0.000    0.056    0.001 enum.py:528(__new__)
     1311    0.004    0.000    0.009    0.000 generic.py:42(_instancecheck)
     1448    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:645(parent)
  833/675    0.004    0.000    0.177    0.000 typing.py:392(inner)
      719    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1311    0.003    0.000    0.005    0.000 generic.py:37(_check)
     1114    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1134    0.003    0.000    0.008    0.000 _parser.py:172(__setitem__)
       98    0.003    0.000    7.829    0.080 __init__.py:1(<module>)
     2415    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
    98/50    0.003    0.000    0.068    0.001 series.py:389(__init__)
     1215    0.003    0.000    0.005    0.000 enum.py:48(_is_dunder)
      646    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      235    0.003    0.000    0.884    0.004 _compiler.py:740(compile)
     1206    0.003    0.000    0.005    0.000 enum.py:59(_is_sunder)
     1107    0.003    0.000    0.007    0.000 typing.py:166(_type_convert)
     1166    0.003    0.000    0.005    0.000 typing.py:1252(__eq__)
      646    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
  565/127    0.003    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
      810    0.003    0.000    0.012    0.000 _compiler.py:398(_simple)
     1639    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:79(__init__)
     1365    0.003    0.000    0.036    0.000 <frozen importlib._bootstrap>:632(cached)
      112    0.003    0.000    0.028    0.000 construction.py:517(sanitize_array)
     2189    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
      785    0.003    0.000    0.005    0.000 __init__.py:101(find_spec)
     1023    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      509    0.003    0.000    0.011    0.000 _inspect.py:97(getargspec)
      418    0.003    0.000    0.007    0.000 inspect.py:2712(__init__)
      692    0.003    0.000    0.021    0.000 __init__.py:179(sub)
     1961    0.003    0.000    0.004    0.000 {built-in method from_bytes}
       37    0.003    0.000    0.007    0.000 __init__.py:355(namedtuple)
      931    0.003    0.000    0.005    0.000 enum.py:726(__call__)
      819    0.003    0.000    0.004    0.000 _parser.py:449(_uniq)
       97    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
      930    0.003    0.000    0.004    0.000 {built-in method builtins.delattr}
      787    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:232(__init__)
     1156    0.003    0.000    0.007    0.000 {built-in method fromkeys}
      990    0.003    0.000    0.004    0.000 _parser.py:83(groups)
      230    0.003    0.000    0.015    0.000 overrides.py:85(verify_matching_signatures)
      238    0.003    0.000    0.010    0.000 typing.py:345(_remove_dups_flatten)
     1044    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     2007    0.003    0.000    0.003    0.000 typing.py:774(<genexpr>)
      265    0.003    0.000    0.030    0.000 overrides.py:144(decorator)
     1831    0.002    0.000    0.002    0.000 {method 'isupper' of 'str' objects}
      760    0.002    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      987    0.002    0.000    0.003    0.000 {method 'extend' of 'list' objects}
     1676    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
     1245    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1840    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_iscased}
      137    0.002    0.000    0.005    0.000 css_parser.py:357(__init__)
     1639    0.002    0.000    0.002    0.000 {built-in method _weakref._remove_dead_weakref}
      794    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:420(__exit__)
      123    0.002    0.000    0.005    0.000 expr.py:193(<genexpr>)
      887    0.002    0.000    0.004    0.000 enum.py:70(_is_internal_class)
      856    0.002    0.000    0.003    0.000 typing.py:1565(__eq__)
      908    0.002    0.000    0.004    0.000 typing.py:935(__eq__)
      808    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       99    0.002    0.000    0.004    0.000 typing.py:361(_flatten_literal_params)
     1639    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:158(__init__)
  647/644    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      785    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:982(find_spec)
      761    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      146    0.002    0.000    0.004    0.000 util.py:18(lower)
      808    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       77    0.002    0.000    0.027    0.000 css_parser.py:450(parse_attribute_selector)
    85/30    0.002    0.000    0.018    0.001 typing.py:1328(_make_substitution)
      235    0.002    0.000    0.518    0.002 _parser.py:969(parse)
     1314    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
    45/14    0.002    0.000    0.077    0.005 css_parser.py:847(parse_selectors)
      441    0.002    0.000    0.003    0.000 _parser.py:265(getwhile)
       98    0.002    0.000    0.023    0.000 datetimes.py:331(_from_sequence_not_strict)
      646    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      832    0.002    0.000    0.023    0.000 typing.py:723(<genexpr>)
       37    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      490    0.002    0.000    0.004    0.000 _inspect.py:66(getargs)
      472    0.002    0.000    0.005    0.000 typing.py:1178(__getattr__)
      750    0.002    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
       54    0.002    0.000    0.042    0.001 base.py:475(__new__)
        5    0.002    0.000    0.009    0.002 utils.py:1021(generate_list_table_from_dict_universal)
        6    0.002    0.000    0.011    0.002 feedparser.py:216(_parsegen)
     1390    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      927    0.002    0.000    0.002    0.000 enum.py:785(__delattr__)
     1068    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
   499/37    0.002    0.000    1.673    0.045 {built-in method builtins.__import__}
      640    0.002    0.000    0.003    0.000 feedparser.py:77(readline)
  593/495    0.002    0.000    0.003    0.000 typing.py:1258(__hash__)
      439    0.002    0.000    0.003    0.000 socket.py:89(<lambda>)
      437    0.002    0.000    0.003    0.000 socket.py:79(<lambda>)
      440    0.002    0.000    0.003    0.000 socket.py:94(<lambda>)
      438    0.002    0.000    0.003    0.000 socket.py:84(<lambda>)
      640    0.002    0.000    0.004    0.000 feedparser.py:127(__next__)
       98    0.002    0.000    0.012    0.000 datetimes.py:2201(_sequence_to_dt64)
     1126    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      256    0.002    0.000    0.004    0.000 _parser.py:86(opengroup)
     1234    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
  287/221    0.002    0.000    0.002    0.000 _compiler.py:436(_get_literal_prefix)
      235    0.002    0.000    0.359    0.002 _compiler.py:573(_code)
       23    0.002    0.000    0.008    0.000 inspect.py:2366(_signature_from_function)
    347/1    0.002    0.000    0.002    0.002 __config__.py:19(_cleanup)
       72    0.002    0.000    0.005    0.000 config.py:491(register_option)
       11    0.002    0.000    0.018    0.002 dataclasses.py:921(_process_class)
  565/127    0.002    0.000    0.006    0.000 <frozen abc>:121(__subclasscheck__)
     1122    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.002    0.002   15.988   15.988 fundamentals.py:122(_get_financials_time_series)
      116    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      131    0.001    0.000    0.006    0.000 typing_extensions.py:3177(_collect_parameters)
      785    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
     1065    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
     1065    0.001    0.000    0.001    0.000 enum.py:1185(__init__)
      931    0.001    0.000    0.002    0.000 enum.py:1129(__new__)
     1102    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
        8    0.001    0.000    0.006    0.001 __init__.py:707(__init__)
      780    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      649    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      509    0.001    0.000    0.002    0.000 _inspect.py:13(ismethod)
      310    0.001    0.000    0.004    0.000 function_base.py:473(_add_docstring)
      761    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      337    0.001    0.000    0.004    0.000 {built-in method builtins.all}
       45    0.001    0.000    0.003    0.000 inspect.py:2998(__init__)
      509    0.001    0.000    0.002    0.000 _inspect.py:26(isfunction)
      310    0.001    0.000    0.002    0.000 function_base.py:455(_needs_add_docstring)
      924    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      490    0.001    0.000    0.002    0.000 _inspect.py:41(iscode)
      460    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
       47    0.001    0.000    0.084    0.002 indexing.py:1785(_setitem_with_indexer)
      788    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
       19    0.001    0.000    0.017    0.001 _decorators.py:294(decorate)
      470    0.001    0.000    0.002    0.000 _compiler.py:570(isstring)
      300    0.001    0.000    0.007    0.000 __init__.py:164(match)
      832    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      802    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       98    0.001    0.000    0.005    0.000 datetimelike.py:2452(ensure_arraylike_for_datetimelike)
  258/213    0.001    0.000    0.003    0.000 typing.py:1573(__hash__)
      750    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      117    0.001    0.000    0.002    0.000 dataclasses.py:701(_is_type)
       97    0.001    0.000    0.004    0.000 cast.py:123(maybe_convert_platform)
      140    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      383    0.001    0.000    0.003    0.000 {built-in method builtins.any}
       47    0.001    0.000    0.079    0.002 indexing.py:2179(_setitem_single_block)
      242    0.001    0.000    0.002    0.000 _parser.py:231(__init__)
      159    0.001    0.000    0.006    0.000 <frozen abc>:105(__new__)
      320    0.001    0.000    0.002    0.000 typing.py:2476(overload)
       47    0.001    0.000    0.090    0.002 indexing.py:882(__setitem__)
      794    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:412(__init__)
      382    0.001    0.000    0.029    0.000 {built-in method builtins.next}
       51    0.001    0.000    0.003    0.000 blocks.py:1439(setitem)
      786    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
       52    0.001    0.000    0.015    0.000 cast.py:1164(maybe_infer_to_datetimelike)
      114    0.001    0.000    0.002    0.000 _parser.py:274(getuntil)
      150    0.001    0.000    0.002    0.000 numeric.py:324(full)
       89    0.001    0.000    0.002    0.000 typing.py:977(_typevar_subst)
    85/30    0.001    0.000    0.031    0.001 typing.py:1267(__getitem__)
      337    0.001    0.000    0.006    0.000 typing.py:317(_deduplicate)
       57    0.001    0.000    0.003    0.000 dataclasses.py:760(_get_field)
      747    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:653(has_location)
      570    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      646    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      729    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      702    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      757    0.001    0.000    0.001    0.000 enum.py:251(__init__)
      712    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      268    0.001    0.000    0.002    0.000 css_parser.py:332(match)
      314    0.001    0.000    0.001    0.000 types.py:192(__init__)
      159    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      708    0.001    0.000    0.001    0.000 inspect.py:2777(kind)
      330    0.001    0.000    0.001    0.000 inference.py:334(is_hashable)
        1    0.001    0.001    0.003    0.003 base.py:320(Index)
      646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       51    0.001    0.000    0.005    0.000 datetimelike.py:141(equals)
      345    0.001    0.000    0.001    0.000 base.py:912(__len__)
       98    0.001    0.000    0.007    0.000 datetimes.py:2445(maybe_convert_dtype)
      635    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      687    0.001    0.000    0.001    0.000 inspect.py:2765(name)
      500    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      131    0.001    0.000    0.001    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
      646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:986(create_module)
  288/238    0.001    0.000    0.075    0.000 typing.py:508(__getitem__)
      294    0.001    0.000    0.894    0.003 __init__.py:226(compile)
      133    0.001    0.000    0.002    0.000 expr.py:182(<genexpr>)
      141    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
       89    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      201    0.001    0.000    0.004    0.000 base.py:7754(maybe_extract_name)
      295    0.001    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      471    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      111    0.001    0.000    0.001    0.000 base.py:650(_simple_new)
       12    0.001    0.000    0.002    0.000 message.py:494(get)
       99    0.001    0.000    0.003    0.000 common.py:1200(is_bool_dtype)
      634    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
       13    0.001    0.000    0.003    0.000 accessor.py:63(_add_delegate_accessors)
      116    0.001    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
      533    0.001    0.000    0.001    0.000 typing.py:2534(final)
        1    0.001    0.001    0.001    0.001 tempfile.py:824(SpooledTemporaryFile)
       85    0.001    0.000    0.004    0.000 css_parser.py:759(parse_combinator)
  137/132    0.001    0.000    0.016    0.000 css_parser.py:383(freeze)
      266    0.001    0.000    0.001    0.000 construction.py:416(extract_array)
       89    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.001    0.001    0.002    0.002 six.py:1(<module>)
      177    0.001    0.000    0.004    0.000 generic.py:6320(__setattr__)
    85/30    0.001    0.000    0.019    0.001 typing.py:1299(_determine_new_args)
       49    0.001    0.000    0.001    0.000 datetimes.py:2371(objects_to_datetime64)
      256    0.001    0.000    0.057    0.000 _parser.py:98(closegroup)
      116    0.001    0.000    0.003    0.000 typing.py:885(__init__)
        1    0.001    0.001    0.010    0.010 utils.py:351(camel2title)
      155    0.001    0.000    0.001    0.000 typing.py:2310(get_origin)
       77    0.001    0.000    0.003    0.000 typing.py:1096(_generic_init_subclass)
      143    0.001    0.000    0.036    0.000 _decorators.py:484(__call__)
      158    0.001    0.000    0.043    0.000 base.py:7659(ensure_index)
        2    0.001    0.000    0.011    0.006 core.py:1(<module>)
        2    0.001    0.000    0.003    0.001 feedparser.py:469(_parse_headers)
       84    0.001    0.000    0.004    0.000 common.py:1606(pandas_dtype)
      271    0.001    0.000    0.001    0.000 typing.py:1603(__eq__)
      251    0.001    0.000    0.001    0.000 common.py:1409(_get_dtype)
      235    0.001    0.000    0.001    0.000 _parser.py:953(fix_flags)
       11    0.001    0.000    0.004    0.000 typing.py:2854(__new__)
       15    0.001    0.000    0.001    0.000 typing.py:1721(_get_protocol_attrs)
        1    0.001    0.001    0.005    0.005 hmac.py:1(<module>)
      265    0.001    0.000    0.001    0.000 inspect.py:3045(<genexpr>)
      398    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       39    0.001    0.000    0.002    0.000 {method 'sort' of 'list' objects}
